departure,timestamp,supply,demand
2,67,331,339
2,68,384,391
2,69,414,419
2,70,370,379
2,71,387,395
2,72,385,397
2,73,359,366
2,74,403,412
2,75,404,414
2,76,405,410
2,77,443,465
2,78,429,436
2,79,403,413
2,80,471,485
2,81,409,419
2,82,445,456
2,83,474,481
2,84,399,406
2,85,432,440
2,86,405,418
2,87,424,431
2,88,432,448
2,89,392,397
2,90,465,475
2,91,458,467
2,92,438,454
2,93,457,466
2,94,522,541
2,95,609,636
2,96,595,621
2,97,594,630
2,98,666,703
2,99,621,664
2,100,677,696
2,101,686,717
2,102,847,871
2,103,942,976
2,104,805,828
2,105,747,773
2,106,692,702
2,107,652,667
2,108,576,595
2,109,591,600
2,110,615,629
2,111,638,654
2,112,651,677
2,113,647,675
2,114,596,624
2,115,535,554
2,116,549,558
2,117,528,540
2,118,558,574
2,119,573,590
2,120,504,523
2,121,549,565
2,122,511,520
2,123,525,542
2,124,511,527
2,125,494,514
2,126,505,528
2,127,608,617
2,128,443,463
2,129,474,491
2,130,479,494
2,131,405,419
2,132,362,377
2,133,419,444
2,134,361,384
2,135,303,319
2,136,332,340
2,137,258,270
2,138,257,264
2,139,253,257
2,140,218,232
2,141,241,257
2,142,226,235
2,143,199,211
2,144,195,198
3,1,7,13
3,2,6,12
3,3,9,19
3,4,6,19
3,5,6,16
3,6,11,27
3,7,6,14
3,8,2,8
3,9,3,6
3,10,4,6
3,11,4,7
3,12,4,5
3,13,3,7
3,14,5,6
3,15,7,7
3,16,4,4
3,17,4,4
3,18,2,3
3,19,1,3
3,20,2,8
3,21,1,4
3,22,1,2
3,23,0,2
3,24,1,1
3,25,2,4
3,26,0,3
3,27,0,5
3,28,0,3
3,29,2,5
3,30,0,3
3,31,1,1
3,32,1,2
3,34,2,4
3,35,3,4
3,36,1,4
3,37,2,3
3,38,4,8
3,39,6,16
3,40,15,27
3,41,23,26
3,42,26,30
3,43,37,44
3,44,56,66
3,45,93,107
3,46,100,121
3,47,78,91
3,48,77,104
3,49,83,114
3,50,76,111
3,51,74,115
3,52,101,135
3,53,97,121
3,54,86,113
3,55,63,73
3,56,60,83
3,57,74,100
3,58,59,73
3,59,43,64
3,60,56,80
3,61,59,83
3,62,41,57
3,63,50,79
3,64,51,85
3,65,38,59
3,66,45,72
3,67,46,63
3,68,40,89
3,69,37,75
3,70,38,52
3,71,40,83
3,72,52,75
3,73,48,66
3,74,62,92
3,75,45,62
3,76,61,80
3,77,53,92
3,78,58,74
3,79,64,85
3,80,63,85
3,81,61,85
3,82,56,85
3,83,51,73
3,84,45,79
3,85,57,96
3,86,58,84
3,87,43,50
3,88,40,63
3,89,57,68
3,90,51,72
3,91,49,62
3,92,55,70
3,93,39,49
3,94,57,67
3,95,70,80
3,96,58,75
3,97,82,87
3,98,73,79
3,99,56,61
3,100,78,84
3,101,71,83
3,102,72,88
3,103,100,114
3,104,98,124
3,105,87,116
3,106,100,117
3,107,82,83
3,108,69,80
3,109,53,68
3,110,66,76
3,111,79,93
3,112,72,78
3,113,66,72
3,114,70,74
3,115,68,81
3,116,65,79
3,117,55,69
3,118,45,58
3,119,58,72
3,120,48,56
3,121,53,62
3,122,58,65
3,123,44,56
3,124,42,58
3,125,47,62
3,126,47,62
3,127,42,47
3,128,42,62
3,129,35,52
3,130,42,49
3,131,38,51
3,132,32,39
3,133,38,42
3,134,25,41
3,135,35,45
3,136,29,38
3,137,41,52
3,138,28,37
3,139,17,28
3,140,16,27
3,141,21,39
3,142,20,27
3,143,12,25
3,144,11,13
4,1,345,378
4,2,381,411
4,3,337,366
4,4,273,300
4,5,229,253
4,6,236,270
4,7,215,251
4,8,181,206
4,9,161,186
4,10,144,160
4,11,140,151
4,12,126,149
4,13,132,164
4,14,138,180
4,15,127,144
4,16,85,108
4,17,83,100
4,18,55,76
4,19,62,81
4,20,62,76
4,21,41,47
4,22,48,75
4,23,32,45
4,24,36,46
4,25,29,36
4,26,32,47
4,27,24,42
4,28,21,39
4,29,24,48
4,30,26,33
4,31,22,27
4,32,30,48
4,33,24,53
4,34,34,81
4,35,33,87
4,36,36,112
4,37,48,133
4,38,40,125
4,39,82,164
4,40,188,242
4,41,191,233
4,42,240,271
4,43,419,453
4,44,534,604
4,45,712,814
4,46,904,1032
4,47,1005,1196
4,48,1186,1500
4,49,1358,2013
4,50,1511,2541
4,51,1651,2882
4,52,1690,3118
4,53,1563,2977
4,54,1804,2835
4,55,1894,2711
4,56,1788,2665
4,57,1659,2453
4,58,1199,2143
4,59,1143,1853
4,60,1112,1586
4,61,959,1220
4,62,879,1088
4,63,835,1001
4,64,788,934
4,65,750,882
4,66,749,849
4,67,752,867
4,68,729,834
4,69,793,949
4,70,765,940
4,71,776,918
4,72,792,939
4,73,887,1035
4,74,873,1055
4,75,920,1074
4,76,851,997
4,77,836,977
4,78,898,1067
4,79,946,1182
4,80,914,1180
4,81,977,1309
4,82,995,1300
4,83,933,1260
4,84,919,1210
4,85,1018,1248
4,86,940,1147
4,87,959,1102
4,88,1026,1241
4,89,981,1165
4,90,958,1100
4,91,973,1086
4,92,964,1181
4,93,1051,1318
4,94,1124,1198
4,95,1090,1201
4,96,1096,1215
4,97,1169,1206
4,98,1156,1202
4,99,1162,1204
4,100,1186,1248
4,101,1183,1252
4,102,1238,1283
4,103,1418,1470
4,104,1332,1399
4,105,1391,1469
4,106,1476,1530
4,107,1400,1480
4,108,1341,1410
4,109,1617,1730
4,110,1524,1637
4,111,1508,1592
4,112,1398,1482
4,113,1401,1470
4,114,1275,1345
4,115,1334,1433
4,116,1326,1451
4,117,1290,1422
4,118,1364,1507
4,119,1290,1442
4,120,1337,1469
4,121,1547,1611
4,122,1539,1623
4,123,1557,1619
4,124,1603,1667
4,125,1440,1507
4,126,1480,1557
4,127,1486,1560
4,128,1326,1398
4,129,1384,1495
4,130,1303,1426
4,131,1234,1345
4,132,1241,1359
4,133,1289,1409
4,134,1075,1176
4,135,751,806
4,136,804,846
4,137,655,693
4,138,569,595
4,139,513,540
4,140,428,452
4,141,380,409
4,142,400,423
4,143,379,404
4,144,378,420
5,1,5,10
5,2,8,16
5,3,7,10
5,4,7,9
5,5,4,4
5,6,4,12
5,7,2,2
5,8,2,3
5,9,2,2
5,10,0,4
5,11,1,5
5,12,2,4
5,13,1,5
5,14,0,3
5,15,1,4
5,16,0,1
5,18,0,1
5,19,1,8
5,20,0,3
5,21,3,9
5,22,0,2
5,23,1,2
5,24,0,1
5,27,0,2
5,28,0,5
5,29,1,3
5,30,1,1
5,31,1,1
5,32,0,2
5,33,0,2
5,35,0,2
5,37,0,1
5,38,1,7
5,39,3,7
5,40,6,10
5,41,9,12
5,42,11,16
5,43,21,25
5,44,23,27
5,45,22,29
5,46,41,47
5,47,25,38
5,48,49,69
5,49,70,101
5,50,51,74
5,51,37,61
5,52,59,86
5,53,42,81
5,54,48,69
5,55,42,61
5,56,44,76
5,57,47,98
5,58,34,77
5,59,48,112
5,60,43,73
5,61,41,61
5,62,40,69
5,63,45,84
5,64,56,102
5,65,48,66
5,66,50,81
5,67,53,92
5,68,45,73
5,69,55,85
5,70,47,74
5,71,60,92
5,72,59,106
5,73,81,145
5,74,66,134
5,75,69,129
5,76,68,134
5,77,64,109
5,78,78,126
5,79,59,114
5,80,75,112
5,81,64,94
5,82,84,120
5,83,55,91
5,84,55,74
5,85,63,93
5,86,66,106
5,87,68,95
5,88,55,76
5,89,64,76
5,90,68,99
5,91,66,85
5,92,62,86
5,93,86,102
5,94,70,75
5,95,83,92
5,96,88,96
5,97,101,113
5,98,92,96
5,99,86,92
5,100,106,114
5,101,107,115
5,102,109,115
5,103,125,138
5,104,138,149
5,105,147,154
5,106,139,150
5,107,98,108
5,108,109,116
5,109,107,118
5,110,100,107
5,111,95,104
5,112,94,105
5,113,74,86
5,114,80,85
5,115,58,79
5,116,68,77
5,117,64,68
5,118,56,68
5,119,52,60
5,120,43,52
5,121,63,76
5,122,48,55
5,123,44,50
5,124,41,47
5,125,48,53
5,126,45,50
5,127,46,62
5,128,61,71
5,129,47,57
5,130,33,37
5,131,36,40
5,132,40,45
5,133,32,37
5,134,19,23
5,135,20,27
5,136,17,22
5,137,22,23
5,138,19,23
5,139,12,13
5,140,7,9
5,141,11,15
5,142,14,19
5,143,10,13
5,144,7,13
6,1,68,80
6,2,61,68
6,3,63,72
6,4,47,51
6,5,43,49
6,6,64,74
6,7,38,43
6,8,35,38
6,9,29,31
6,10,25,28
6,11,31,43
6,12,20,33
6,13,20,26
6,14,20,30
6,15,10,13
6,16,22,29
6,17,19,29
6,18,15,24
6,19,13,19
6,20,11,20
6,21,12,25
6,22,9,22
6,23,10,14
6,24,7,14
6,25,4,7
6,26,5,13
6,27,5,12
6,28,6,12
6,29,4,8
6,30,5,12
6,31,6,11
6,32,5,22
6,33,10,28
6,34,15,32
6,35,10,21
6,36,15,40
6,37,14,39
6,38,19,70
6,39,32,81
6,40,79,98
6,41,114,127
6,42,140,159
6,43,219,248
6,44,357,394
6,45,430,464
6,46,569,675
6,47,630,783
6,48,655,938
6,49,604,1061
6,50,506,1123
6,51,450,1033
6,52,421,1057
6,53,354,837
6,54,401,787
6,55,384,732
6,56,369,789
6,57,341,807
6,58,256,630
6,59,278,678
6,60,258,631
6,61,238,523
6,62,258,497
6,63,259,484
6,64,261,468
6,65,260,457
6,66,250,425
6,67,271,472
6,68,235,450
6,69,293,502
6,70,290,485
6,71,279,463
6,72,263,453
6,73,306,485
6,74,286,457
6,75,319,485
6,76,304,492
6,77,308,518
6,78,308,477
6,79,304,488
6,80,340,550
6,81,276,423
6,82,295,464
6,83,295,461
6,84,307,477
6,85,254,397
6,86,257,402
6,87,279,398
6,88,240,392
6,89,259,358
6,90,274,418
6,91,320,431
6,92,285,424
6,93,320,474
6,94,350,388
6,95,325,353
6,96,306,361
6,97,416,443
6,98,376,410
6,99,400,425
6,100,406,441
6,101,406,429
6,102,386,404
6,103,418,462
6,104,408,441
6,105,416,473
6,106,435,493
6,107,388,426
6,108,373,407
6,109,374,405
6,110,355,378
6,111,325,342
6,112,325,336
6,113,270,289
6,114,271,285
6,115,267,289
6,116,266,287
6,117,235,253
6,118,259,276
6,119,252,265
6,120,243,257
6,121,231,246
6,122,240,255
6,123,255,270
6,124,237,240
6,125,232,246
6,126,228,240
6,127,226,231
6,128,232,241
6,129,243,249
6,130,208,215
6,131,215,224
6,132,214,230
6,133,204,216
6,134,176,192
6,135,179,192
6,136,171,177
6,137,141,157
6,138,117,131
6,139,104,111
6,140,86,95
6,141,89,94
6,142,71,79
6,143,74,79
6,144,80,91
7,1,1310,1459
7,2,1223,1392
7,3,1142,1337
7,4,1110,1339
7,5,1079,1394
7,6,1040,1389
7,7,1056,1454
7,8,921,1321
7,9,919,1300
7,10,856,1155
7,11,775,1104
7,12,749,1059
7,13,719,1088
7,14,648,1026
7,15,618,928
7,16,579,881
7,17,561,891
7,18,490,717
7,19,456,759
7,20,451,790
7,21,460,849
7,22,441,883
7,23,416,761
7,24,379,694
7,25,370,753
7,26,334,670
7,27,322,657
7,28,290,596
7,29,267,507
7,30,218,443
7,31,197,408
7,32,175,374
7,33,164,369
7,34,135,345
7,35,124,348
7,36,125,411
7,37,155,471
7,38,151,437
7,39,135,475
7,40,431,680
7,41,530,775
7,42,759,1030
7,43,1058,1523
7,44,1313,1856
7,45,1419,2113
7,46,1590,2491
7,47,1781,2942
7,48,1913,3109
7,49,2150,3457
7,50,2349,3473
7,51,2587,3528
7,52,2884,3766
7,53,2931,3647
7,54,2629,2923
7,55,2770,2905
7,56,2845,2999
7,57,2685,2807
7,58,2486,2623
7,59,2581,2735
7,60,2217,2344
7,61,2229,2347
7,62,2118,2246
7,63,2167,2275
7,64,2143,2281
7,65,2184,2312
7,66,2152,2298
7,67,2305,2500
7,68,2372,2591
7,69,2439,2641
7,70,2635,2926
7,71,2594,2978
7,72,2636,3020
7,73,2732,3041
7,74,2648,3020
7,75,2711,3081
7,76,2749,3134
7,77,2749,3133
7,78,2869,3273
7,79,2970,3542
7,80,2887,3597
7,81,3052,3846
7,82,2980,3802
7,83,3122,3887
7,84,3012,3779
7,85,3035,3701
7,86,2970,3681
7,87,2913,3720
7,88,3079,3838
7,89,3012,3792
7,90,2926,3725
7,91,3055,4135
7,92,2972,4424
7,93,2786,4511
7,94,3658,4662
7,95,3201,4426
7,96,3079,4436
7,97,3673,4655
7,98,3365,4639
7,99,3604,5073
7,100,3738,5350
7,101,3771,5593
7,102,4273,6505
7,103,4826,8755
7,104,4270,8005
7,105,4122,8089
7,106,4472,9730
7,107,4012,8028
7,108,3805,7258
7,109,4132,7769
7,110,3926,6978
7,111,4200,6394
7,112,4303,5312
7,113,3990,4500
7,114,3633,3984
7,115,3510,4056
7,116,3354,3802
7,117,3264,3785
7,118,3079,3577
7,119,3165,3760
7,120,3237,4050
7,121,3857,4312
7,122,3607,4277
7,123,3442,4277
7,124,3592,4576
7,125,3333,4143
7,126,3110,3853
7,127,3231,4628
7,128,2983,4765
7,129,2818,4438
7,130,2803,4400
7,131,2756,4108
7,132,2652,3457
7,133,2790,3574
7,134,2495,3144
7,135,2187,2423
7,136,2110,2257
7,137,1841,1954
7,138,1711,1839
7,139,1615,1958
7,140,1484,1819
7,141,1419,1620
7,142,1389,1487
7,143,1248,1352
7,144,1156,1244
8,1,2120,2270
8,2,1946,2102
8,3,1764,1916
8,4,1623,1765
8,5,1457,1581
8,6,1348,1458
8,7,1349,1479
8,8,1191,1316
8,9,1058,1157
8,10,982,1088
8,11,871,963
8,12,827,930
8,13,828,991
8,14,732,910
8,15,662,839
8,16,584,686
8,17,529,618
8,18,525,627
8,19,456,590
8,20,427,564
8,21,367,460
8,22,358,420
8,23,259,337
8,24,293,355
8,25,286,352
8,26,234,280
8,27,223,331
8,28,238,334
8,29,195,265
8,30,234,337
8,31,228,365
8,32,207,333
8,33,245,412
8,34,235,441
8,35,227,477
8,36,247,552
8,37,301,776
8,38,297,872
8,39,384,1107
8,40,1412,1793
8,41,1644,2155
8,42,2183,2917
8,43,3074,4196
8,44,3474,5253
8,45,3908,7373
8,46,3861,8796
8,47,3877,9492
8,48,4065,11309
8,49,4239,12588
8,50,4916,12585
8,51,5398,12466
8,52,5812,13048
8,53,6283,12230
8,54,7055,10494
8,55,7456,8820
8,56,7072,8512
8,57,6730,7707
8,58,5793,7152
8,59,5559,7035
8,60,5212,6187
8,61,4906,5615
8,62,4536,5186
8,63,4562,5137
8,64,4380,4952
8,65,4215,4857
8,66,4173,4784
8,67,4185,4872
8,68,4075,4846
8,69,4323,5130
8,70,4374,5438
8,71,4363,5383
8,72,4399,5377
8,73,4643,5358
8,74,4427,5311
8,75,4589,5394
8,76,4751,5659
8,77,4953,5842
8,78,4961,5936
8,79,5049,6471
8,80,4889,6509
8,81,5056,6831
8,82,5020,6929
8,83,4970,6778
8,84,5001,6758
8,85,5048,6398
8,86,5063,6419
8,87,5013,6365
8,88,5123,6334
8,89,5079,6241
8,90,4924,5962
8,91,5042,6191
8,92,4909,6568
8,93,4995,7044
8,94,5653,6420
8,95,5201,5955
8,96,5219,6343
8,97,5928,6204
8,98,5698,6166
8,99,5832,6228
8,100,6075,6663
8,101,6115,6696
8,102,6796,7570
8,103,7662,9182
8,104,7302,9088
8,105,7444,9602
8,106,8154,11968
8,107,7509,10809
8,108,7115,10091
8,109,7841,11263
8,110,7517,10468
8,111,7537,9410
8,112,7452,8303
8,113,7041,7647
8,114,6682,7099
8,115,6459,6956
8,116,6246,6645
8,117,6322,6819
8,118,6174,6623
8,119,5869,6230
8,120,6128,6691
8,121,6674,6950
8,122,6645,6979
8,123,6709,7062
8,124,7193,7677
8,125,6941,7441
8,126,6806,7283
8,127,7410,8522
8,128,7067,8482
8,129,6783,8151
8,130,6929,8374
8,131,6333,7581
8,132,5999,6989
8,133,5923,7005
8,134,5228,6126
8,135,4432,4911
8,136,4040,4332
8,137,3406,3540
8,138,3082,3205
8,139,2838,2955
8,140,2554,2678
8,141,2201,2293
8,142,2117,2210
8,143,2063,2142
8,144,1907,2008
9,1,274,331
9,2,188,226
9,3,186,228
9,4,187,222
9,5,186,214
9,6,155,176
9,7,135,175
9,8,126,154
9,9,108,134
9,10,105,127
9,11,90,113
9,12,80,110
9,13,83,140
9,14,52,90
9,15,56,76
9,16,51,91
9,17,36,68
9,18,50,69
9,19,33,60
9,20,22,42
9,21,33,55
9,22,22,44
9,23,24,39
9,24,20,46
9,25,18,58
9,26,14,53
9,27,12,40
9,28,16,42
9,29,19,36
9,30,15,23
9,31,22,32
9,32,18,31
9,33,16,22
9,34,21,37
9,35,23,46
9,36,23,45
9,37,27,66
9,38,25,63
9,39,45,83
9,40,110,133
9,41,105,122
9,42,151,172
9,43,276,317
9,44,299,334
9,45,410,440
9,46,493,539
9,47,474,515
9,48,577,604
9,49,683,739
9,50,793,883
9,51,772,888
9,52,765,945
9,53,800,1044
9,54,767,959
9,55,676,824
9,56,722,879
9,57,665,795
9,58,515,639
9,59,553,709
9,60,573,705
9,61,512,603
9,62,544,618
9,63,537,620
9,64,502,583
9,65,537,612
9,66,493,572
9,67,482,529
9,68,517,577
9,69,542,637
9,70,544,618
9,71,596,716
9,72,597,707
9,73,621,708
9,74,669,742
9,75,649,734
9,76,642,743
9,77,659,756
9,78,703,863
9,79,723,877
9,80,798,941
9,81,711,783
9,82,683,752
9,83,703,792
9,84,720,789
9,85,618,687
9,86,638,698
9,87,650,698
9,88,664,702
9,89,664,699
9,90,683,728
9,91,714,796
9,92,778,918
9,93,779,982
9,94,814,864
9,95,820,887
9,96,860,956
9,97,920,975
9,98,932,964
9,99,904,948
9,100,1037,1077
9,101,979,1047
9,102,1039,1091
9,103,1091,1158
9,104,1057,1107
9,105,957,1013
9,106,1004,1050
9,107,952,994
9,108,855,922
9,109,927,979
9,110,886,915
9,111,770,798
9,112,827,870
9,113,772,810
9,114,825,857
9,115,729,761
9,116,764,814
9,117,746,792
9,118,743,805
9,119,701,749
9,120,648,689
9,121,831,874
9,122,739,772
9,123,819,848
9,124,822,850
9,125,790,824
9,126,761,795
9,127,770,794
9,128,729,767
9,129,740,772
9,130,735,766
9,131,760,784
9,132,737,757
9,133,741,770
9,134,660,687
9,135,558,589
9,136,540,566
9,137,505,526
9,138,485,508
9,139,382,397
9,140,352,372
9,141,324,347
9,142,310,324
9,143,334,374
9,144,258,292
10,1,3,4
10,2,6,9
10,3,1,2
10,4,6,9
10,5,3,3
10,6,1,2
10,7,1,3
10,8,2,5
10,9,5,6
10,10,1,1
10,11,1,1
10,12,2,2
10,13,5,6
10,15,3,4
10,16,0,1
10,17,1,1
10,18,2,2
10,19,1,1
10,21,1,2
10,22,2,3
10,23,2,7
10,24,0,1
10,25,1,2
10,26,3,3
10,27,2,3
10,28,1,1
10,29,1,1
10,30,2,3
10,31,1,1
10,32,5,5
10,33,0,3
10,34,1,4
10,35,5,8
10,36,4,18
10,37,4,14
10,38,5,8
10,39,5,16
10,40,7,11
10,41,25,30
10,42,31,35
10,43,31,36
10,44,76,82
10,45,69,82
10,46,112,122
10,47,70,99
10,48,72,100
10,49,48,81
10,50,55,100
10,51,44,100
10,52,70,156
10,53,70,122
10,54,82,131
10,55,67,104
10,56,54,90
10,57,49,113
10,58,49,100
10,59,52,112
10,60,46,81
10,61,64,107
10,62,55,79
10,63,51,77
10,64,62,83
10,65,54,75
10,66,65,84
10,67,51,63
10,68,67,91
10,69,70,98
10,70,65,87
10,71,66,86
10,72,57,92
10,73,57,92
10,74,59,86
10,75,61,84
10,76,58,90
10,77,64,98
10,78,63,104
10,79,55,84
10,80,72,117
10,81,61,105
10,82,57,85
10,83,62,80
10,84,55,102
10,85,61,92
10,86,49,102
10,87,56,92
10,88,55,78
10,89,49,81
10,90,51,83
10,91,53,96
10,92,46,88
10,93,55,102
10,94,45,83
10,95,45,88
10,96,40,85
10,97,51,85
10,98,54,83
10,99,45,80
10,100,57,104
10,101,59,129
10,102,50,109
10,103,41,102
10,104,53,95
10,105,62,93
10,106,47,84
10,107,49,88
10,108,50,74
10,109,66,86
10,110,47,67
10,111,56,74
10,112,64,75
10,113,51,65
10,114,60,82
10,115,50,59
10,116,46,58
10,117,47,59
10,118,40,65
10,119,34,42
10,120,47,73
10,121,43,65
10,122,45,78
10,123,50,78
10,124,44,81
10,125,33,60
10,126,34,64
10,127,39,56
10,128,30,40
10,129,30,45
10,130,23,33
10,131,20,32
10,132,20,28
10,133,29,34
10,134,26,35
10,135,25,32
10,136,27,29
10,137,15,18
10,138,12,15
10,139,15,18
10,140,10,11
10,141,9,10
10,142,6,9
10,143,7,9
10,144,5,7
11,1,180,207
11,2,134,161
11,3,134,142
11,4,112,127
11,5,120,141
11,6,119,128
11,7,104,121
11,8,93,108
11,9,93,107
11,10,70,86
11,11,67,79
11,12,58,67
11,13,61,72
11,14,53,58
11,15,55,68
11,16,51,76
11,17,41,53
11,18,39,59
11,19,27,35
11,20,22,36
11,21,26,33
11,22,16,25
11,23,20,48
11,24,20,29
11,25,12,24
11,26,12,21
11,27,16,20
11,28,12,23
11,29,13,23
11,30,19,30
11,31,19,45
11,32,21,29
11,33,21,32
11,34,21,40
11,35,33,47
11,36,25,44
11,37,39,76
11,38,51,82
11,39,89,112
11,40,131,137
11,41,160,169
11,42,156,161
11,43,360,375
11,44,506,523
11,45,663,689
11,46,886,901
11,47,927,955
11,48,899,930
11,49,929,962
11,50,958,1031
11,51,867,929
11,52,966,1108
11,53,846,997
11,54,688,750
11,55,600,619
11,56,610,631
11,57,519,536
11,58,501,525
11,59,481,521
11,60,489,521
11,61,507,548
11,62,565,616
11,63,464,493
11,64,469,506
11,65,428,464
11,66,429,460
11,67,448,486
11,68,448,520
11,69,448,484
11,70,440,489
11,71,449,483
11,72,439,466
11,73,516,540
11,74,495,531
11,75,468,508
11,76,505,551
11,77,512,547
11,78,505,541
11,79,520,548
11,80,591,648
11,81,558,622
11,82,506,557
11,83,519,554
11,84,502,530
11,85,590,619
11,86,490,537
11,87,489,512
11,88,466,496
11,89,470,498
11,90,464,482
11,91,482,495
11,92,458,481
11,93,483,508
11,94,559,571
11,95,486,516
11,96,555,572
11,97,645,663
11,98,558,576
11,99,569,591
11,100,576,603
11,101,597,629
11,102,711,738
11,103,830,857
11,104,778,805
11,105,764,797
11,106,742,773
11,107,739,781
11,108,661,687
11,109,740,764
11,110,612,630
11,111,581,601
11,112,591,619
11,113,511,532
11,114,534,557
11,115,484,504
11,116,469,489
11,117,477,497
11,118,455,479
11,119,482,505
11,120,425,444
11,121,454,467
11,122,433,446
11,123,435,454
11,124,435,458
11,125,403,422
11,126,390,413
11,127,425,448
11,128,363,378
11,129,367,389
11,130,401,416
11,131,341,364
11,132,297,310
11,133,268,275
11,134,297,310
11,135,295,313
11,136,280,291
11,137,253,264
11,138,249,273
11,139,197,218
11,140,182,193
11,141,207,221
11,142,179,190
11,143,179,187
11,144,179,199
12,1,1368,1561
12,2,1279,1516
12,3,1144,1409
12,4,1069,1291
12,5,1013,1182
12,6,922,1039
12,7,860,1027
12,8,719,850
12,9,711,783
12,10,632,731
12,11,635,757
12,12,577,670
12,13,524,592
12,14,476,560
12,15,418,506
12,16,367,430
12,17,345,392
12,18,321,373
12,19,282,371
12,20,284,335
12,21,237,298
12,22,237,272
12,23,207,273
12,24,174,202
12,25,159,205
12,26,145,212
12,27,149,198
12,28,121,180
12,29,128,171
12,30,120,166
12,31,106,164
12,32,113,194
12,33,110,201
12,34,102,186
12,35,113,197
12,36,146,262
12,37,154,321
12,38,187,312
12,39,249,378
12,40,523,569
12,41,628,699
12,42,872,918
12,43,1297,1354
12,44,1631,1693
12,45,2057,2125
12,46,2380,2464
12,47,2428,2527
12,48,2641,2807
12,49,2947,3242
12,50,2834,3271
12,51,2871,3216
12,52,3126,3458
12,53,2828,3154
12,54,2254,2382
12,55,2113,2162
12,56,2034,2104
12,57,1878,1916
12,58,1817,1854
12,59,1851,1902
12,60,1776,1830
